atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;5;Extracción y distribución de combustibles fósiles y energía geotérmica;CO;t;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;6;Uso de disolventes y otros productos;CO;t;460,28
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;7;Transporte por carretera;CO;t;36470,09
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;8;Otros modos de transporte y maquinaria móvil;CO;t;7684,14
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;9;Tratamiento y eliminación de residuos;CO;t;2633,6
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;10;Agricultura;CO;t;0,01
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;11;Otras fuentes y sumideros (naturaleza);CO;t;2324,65
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;1;Combustión en la producción y transformación de energía;CO2;kt;90,67
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;2;Plantas de combustión no industrial;CO2;kt;5696,18
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;3;Plantas de combustión industrial;CO2;kt;2514,4
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;4;Procesos industriales sin combustión;CO2;kt;493,54
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;5;Extracción y distribución de combustibles fósiles y energía geotérmica;CO2;kt;0,02
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;6;Uso de disolventes y otros productos;CO2;kt;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;7;Transporte por carretera;CO2;kt;10102,99
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;8;Otros modos de transporte y maquinaria móvil;CO2;kt;3975,07
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;9;Tratamiento y eliminación de residuos;CO2;kt;246,43
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;10;Agricultura;CO2;kt;3,36
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;11;Otras fuentes y sumideros (naturaleza);CO2;kt;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;1;Combustión en la producción y transformación de energía;N2O;t;1,89
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;2;Plantas de combustión no industrial;N2O;t;29,03
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;3;Plantas de combustión industrial;N2O;t;41,08
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;4;Procesos industriales sin combustión;N2O;t;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;5;Extracción y distribución de combustibles fósiles y energía geotérmica;N2O;t;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;6;Uso de disolventes y otros productos;N2O;t;293,87
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;7;Transporte por carretera;N2O;t;335,09
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;8;Otros modos de transporte y maquinaria móvil;N2O;t;109,68
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;9;Tratamiento y eliminación de residuos;N2O;t;550
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;10;Agricultura;N2O;t;229,95
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;11;Otras fuentes y sumideros (naturaleza);N2O;t;11,29
